Contig accession,Feature name,Feature,Begin,End,Strand,Length
PPYXA570.00001,PPYXA570_00001,rRNA,1,92,+,92
PPYXA570.00001,PPYXA570_00002,rRNA,238,354,+,117
PPYXA570.00001,PPYXA570_00003,CDS,590,1009,+,420
PPYXA570.00001,PPYXA570_00004,CDS,1381,1908,-,528
PPYXA570.00001,PPYXA570_00005,CDS,2309,2494,+,186
PPYXA570.00001,PPYXA570_00006,CDS,2642,4222,+,1581
PPYXA570.00001,PPYXA570_00007,CDS,4326,4973,+,648
PPYXA570.00001,PPYXA570_00008,CDS,5048,5377,+,330
PPYXA570.00001,PPYXA570_00009,CDS,5574,6017,+,444
PPYXA570.00001,PPYXA570_00010,CDS,6266,7261,+,996
PPYXA570.00001,PPYXA570_00011,CDS,7400,8200,+,801
PPYXA570.00001,PPYXA570_00012,CDS,8228,8602,+,375
PPYXA570.00001,PPYXA570_00013,CDS,8691,9449,+,759
PPYXA570.00001,PPYXA570_00014,CDS,9446,10327,+,882
PPYXA570.00001,PPYXA570_00015,CDS,10452,10706,-,255
PPYXA570.00001,PPYXA570_00016,CDS,11038,12321,+,1284
PPYXA570.00001,PPYXA570_00017,CDS,12364,13134,+,771
PPYXA570.00001,PPYXA570_00018,CDS,13886,15034,+,1149
PPYXA570.00001,PPYXA570_00019,CDS,15181,15726,+,546
PPYXA570.00001,PPYXA570_00020,CDS,15692,16618,+,927
PPYXA570.00001,PPYXA570_00021,CDS,16671,17570,+,900
PPYXA570.00001,PPYXA570_00022,CDS,17770,18051,+,282
PPYXA570.00001,PPYXA570_00023,CDS,18217,18396,+,180
PPYXA570.00001,PPYXA570_00024,CDS,18541,19395,+,855
PPYXA570.00001,PPYXA570_00025,CDS,19577,20416,+,840
PPYXA570.00001,PPYXA570_00026,CDS,20529,20867,+,339
PPYXA570.00001,PPYXA570_00027,CDS,21213,22610,+,1398
PPYXA570.00001,PPYXA570_00028,CDS,22670,23623,+,954
PPYXA570.00001,PPYXA570_00029,CDS,23692,23892,-,201
PPYXA570.00001,PPYXA570_00030,CDS,23967,24527,+,561
PPYXA570.00001,PPYXA570_00031,CDS,24614,24844,+,231
PPYXA570.00001,PPYXA570_00032,CDS,24979,28506,+,3528
PPYXA570.00001,PPYXA570_00033,CDS,28490,29608,+,1119
PPYXA570.00001,PPYXA570_00034,CDS,29776,30318,+,543
PPYXA570.00001,PPYXA570_00035,CDS,30458,32116,+,1659
PPYXA570.00001,PPYXA570_00036,CDS,32284,33783,+,1500
PPYXA570.00001,PPYXA570_00037,CDS,34117,34389,+,273
PPYXA570.00001,PPYXA570_00038,CDS,34389,34667,+,279
PPYXA570.00001,PPYXA570_00039,CDS,34847,35131,+,285
PPYXA570.00001,PPYXA570_00040,CDS,35128,35706,+,579
PPYXA570.00001,PPYXA570_00041,CDS,35711,36040,+,330
PPYXA570.00001,PPYXA570_00042,CDS,36164,36679,+,516
PPYXA570.00001,PPYXA570_00043,CDS,37204,39693,+,2490
PPYXA570.00001,PPYXA570_00044,CDS,39820,40569,+,750
PPYXA570.00001,PPYXA570_00045,CDS,40553,41491,+,939
PPYXA570.00001,PPYXA570_00046,CDS,41558,43006,+,1449
PPYXA570.00001,PPYXA570_00047,CDS,43054,43593,+,540
PPYXA570.00001,PPYXA570_00048,CDS,43691,45730,+,2040
PPYXA570.00001,PPYXA570_00049,CDS,46011,47624,+,1614
PPYXA570.00001,PPYXA570_00050,CDS,47614,48504,+,891
PPYXA570.00001,PPYXA570_00051,CDS,48511,49278,+,768
PPYXA570.00001,PPYXA570_00052,CDS,49496,50380,+,885
PPYXA570.00001,PPYXA570_00053,CDS,50401,51351,+,951
PPYXA570.00001,PPYXA570_00054,CDS,51592,52530,+,939
PPYXA570.00001,PPYXA570_00055,CDS,52723,54282,+,1560
PPYXA570.00001,PPYXA570_00056,CDS,54288,54863,+,576
PPYXA570.00001,PPYXA570_00057,CDS,54867,55763,+,897
PPYXA570.00001,PPYXA570_00058,CDS,55760,56626,+,867
PPYXA570.00001,PPYXA570_00059,CDS,56698,57060,+,363
PPYXA570.00001,PPYXA570_00060,CDS,57070,57618,+,549
PPYXA570.00001,PPYXA570_00061,CDS,57570,57770,+,201
PPYXA570.00001,PPYXA570_00062,CDS,57817,58845,+,1029
PPYXA570.00001,PPYXA570_00063,CDS,59060,59536,+,477
PPYXA570.00001,PPYXA570_00064,CDS,59649,61175,+,1527
PPYXA570.00001,PPYXA570_00065,CDS,61263,62600,+,1338
PPYXA570.00001,PPYXA570_00066,CDS,62889,63422,+,534
PPYXA570.00001,PPYXA570_00067,CDS,63845,64615,+,771
PPYXA570.00001,PPYXA570_00068,CDS,64628,66088,+,1461
PPYXA570.00001,PPYXA570_00069,CDS,66133,67356,+,1224
PPYXA570.00001,PPYXA570_00070,CDS,67353,69053,+,1701
PPYXA570.00001,PPYXA570_00071,CDS,69074,70318,+,1245
PPYXA570.00001,PPYXA570_00072,CDS,70323,70730,+,408
PPYXA570.00001,PPYXA570_00073,CDS,70826,94555,+,23730
PPYXA570.00001,PPYXA570_00074,CDS,94671,95705,-,1035
PPYXA570.00002,PPYXA570_00075,rRNA,1,92,+,92
PPYXA570.00002,PPYXA570_00076,rRNA,243,359,+,117
PPYXA570.00002,PPYXA570_00077,CDS,703,2160,+,1458
PPYXA570.00002,PPYXA570_00078,CDS,2492,3880,+,1389
PPYXA570.00002,PPYXA570_00079,CDS,4013,4894,+,882
PPYXA570.00002,PPYXA570_00080,CDS,4911,5477,+,567
PPYXA570.00002,PPYXA570_00081,CDS,5514,6797,+,1284
PPYXA570.00002,PPYXA570_00082,tRNA,6888,6976,+,89
PPYXA570.00002,PPYXA570_00083,CDS,7122,7463,+,342
PPYXA570.00002,PPYXA570_00084,CDS,7491,7661,+,171
PPYXA570.00002,PPYXA570_00085,CDS,7734,7889,+,156
PPYXA570.00002,PPYXA570_00086,CDS,8087,9163,+,1077
PPYXA570.00002,PPYXA570_00087,CDS,9287,9844,-,558
PPYXA570.00002,PPYXA570_00088,CDS,9905,10405,-,501
PPYXA570.00002,PPYXA570_00089,CDS,10734,13010,+,2277
PPYXA570.00002,PPYXA570_00090,CDS,13061,13762,+,702
PPYXA570.00002,PPYXA570_00091,CDS,13899,14726,-,828
PPYXA570.00002,PPYXA570_00092,CDS,14719,15513,-,795
PPYXA570.00002,PPYXA570_00093,CDS,15701,15994,+,294
PPYXA570.00002,PPYXA570_00094,CDS,16112,16411,+,300
PPYXA570.00002,PPYXA570_00095,CDS,16490,16996,-,507
PPYXA570.00002,PPYXA570_00096,CDS,17299,17772,-,474
PPYXA570.00002,PPYXA570_00097,CDS,18068,18214,+,147
PPYXA570.00002,PPYXA570_00098,CDS,18219,19046,-,828
PPYXA570.00002,PPYXA570_00099,CDS,19058,21070,-,2013
PPYXA570.00002,PPYXA570_00100,CDS,21195,21701,+,507
PPYXA570.00002,PPYXA570_00101,CDS,22050,22556,+,507
PPYXA570.00002,PPYXA570_00102,CDS,22722,23072,+,351
PPYXA570.00002,PPYXA570_00103,CDS,23424,24236,-,813
PPYXA570.00002,PPYXA570_00104,CDS,24326,24718,-,393
PPYXA570.00002,PPYXA570_00105,CDS,24841,25890,+,1050
PPYXA570.00002,PPYXA570_00106,CDS,26026,26490,+,465
PPYXA570.00002,PPYXA570_00107,CDS,26639,28696,-,2058
PPYXA570.00002,PPYXA570_00108,CDS,28980,29807,+,828
PPYXA570.00002,PPYXA570_00109,CDS,30072,31364,+,1293
PPYXA570.00002,PPYXA570_00110,CDS,31484,33223,-,1740
PPYXA570.00002,PPYXA570_00111,CDS,33220,34980,-,1761
PPYXA570.00002,PPYXA570_00112,CDS,35122,36012,+,891
PPYXA570.00002,PPYXA570_00113,CDS,36122,36547,+,426
PPYXA570.00002,PPYXA570_00114,CDS,36544,38223,+,1680
PPYXA570.00002,PPYXA570_00115,CDS,38350,39210,-,861
PPYXA570.00002,PPYXA570_00116,CDS,39352,40230,-,879
PPYXA570.00002,PPYXA570_00117,CDS,40432,41430,+,999
PPYXA570.00002,PPYXA570_00118,CDS,41450,42523,+,1074
PPYXA570.00002,PPYXA570_00119,CDS,42528,44198,+,1671
PPYXA570.00002,PPYXA570_00120,CDS,44195,45580,+,1386
PPYXA570.00002,PPYXA570_00121,CDS,45599,46759,-,1161
PPYXA570.00002,PPYXA570_00122,CDS,47165,47716,+,552
PPYXA570.00002,PPYXA570_00123,CDS,48118,49719,+,1602
PPYXA570.00002,PPYXA570_00124,CDS,49933,50301,+,369
PPYXA570.00002,PPYXA570_00125,CDS,50550,51404,+,855
PPYXA570.00002,PPYXA570_00126,CDS,51630,52883,+,1254
PPYXA570.00002,PPYXA570_00127,CDS,53143,54480,+,1338
PPYXA570.00002,PPYXA570_00128,CDS,54574,55845,+,1272
PPYXA570.00002,PPYXA570_00129,CDS,55998,56195,+,198
PPYXA570.00002,PPYXA570_00130,CDS,56730,58481,+,1752
PPYXA570.00002,PPYXA570_00131,CDS,58522,58833,+,312
PPYXA570.00002,PPYXA570_00132,CDS,58860,59459,+,600
PPYXA570.00002,PPYXA570_00133,CDS,59672,59983,+,312
PPYXA570.00002,PPYXA570_00134,CDS,59980,60255,+,276
PPYXA570.00003,PPYXA570_00135,rRNA,1,82,+,82
PPYXA570.00003,PPYXA570_00136,tRNA,213,304,+,92
PPYXA570.00003,PPYXA570_00137,tRNA,333,409,+,77
PPYXA570.00003,PPYXA570_00138,tRNA,420,495,+,76
PPYXA570.00003,PPYXA570_00139,tRNA,500,575,+,76
PPYXA570.00003,PPYXA570_00140,tRNA,595,671,+,77
PPYXA570.00003,PPYXA570_00141,tRNA,750,825,+,76
PPYXA570.00003,PPYXA570_00142,tRNA,832,917,+,86
PPYXA570.00003,PPYXA570_00143,tRNA,925,1000,+,76
PPYXA570.00003,PPYXA570_00144,CDS,1156,2298,+,1143
PPYXA570.00003,PPYXA570_00145,CDS,2402,3526,+,1125
PPYXA570.00003,PPYXA570_00146,CDS,3868,4806,+,939
PPYXA570.00003,PPYXA570_00147,CDS,4850,5905,+,1056
PPYXA570.00003,PPYXA570_00148,CDS,5902,6555,+,654
PPYXA570.00003,PPYXA570_00149,CDS,6552,7046,+,495
PPYXA570.00003,PPYXA570_00150,CDS,7193,8344,+,1152
PPYXA570.00003,PPYXA570_00151,CDS,8572,9777,+,1206
PPYXA570.00003,PPYXA570_00152,CDS,9774,10418,+,645
PPYXA570.00003,PPYXA570_00153,CDS,10481,11794,+,1314
PPYXA570.00003,PPYXA570_00154,CDS,11778,12386,+,609
PPYXA570.00003,PPYXA570_00155,CDS,12390,13019,+,630
PPYXA570.00003,PPYXA570_00156,CDS,13116,13847,+,732
PPYXA570.00003,PPYXA570_00157,CDS,13859,14617,+,759
PPYXA570.00003,PPYXA570_00158,CDS,14614,15354,+,741
PPYXA570.00003,PPYXA570_00159,CDS,15391,16215,+,825
PPYXA570.00003,PPYXA570_00160,CDS,16449,18218,+,1770
PPYXA570.00003,PPYXA570_00161,CDS,18258,19211,+,954
PPYXA570.00003,PPYXA570_00162,CDS,19617,20567,+,951
PPYXA570.00003,PPYXA570_00163,CDS,20630,21529,+,900
PPYXA570.00003,PPYXA570_00164,CDS,21542,22528,+,987
PPYXA570.00003,PPYXA570_00165,CDS,22534,23478,+,945
PPYXA570.00003,PPYXA570_00166,CDS,23614,23883,+,270
PPYXA570.00003,PPYXA570_00167,CDS,24154,24909,+,756
PPYXA570.00003,PPYXA570_00168,CDS,25147,26256,+,1110
PPYXA570.00003,PPYXA570_00169,CDS,26371,26967,-,597
PPYXA570.00003,PPYXA570_00170,tRNA,27178,27249,-,72
PPYXA570.00003,PPYXA570_00171,CDS,27510,28547,+,1038
PPYXA570.00003,PPYXA570_00172,CDS,28640,29650,+,1011
PPYXA570.00003,PPYXA570_00173,CDS,29773,30954,+,1182
PPYXA570.00003,PPYXA570_00174,CDS,31014,31766,+,753
PPYXA570.00003,PPYXA570_00175,CDS,31768,33312,+,1545
PPYXA570.00003,PPYXA570_00176,CDS,33376,34662,+,1287
PPYXA570.00003,PPYXA570_00177,CDS,34993,35226,+,234
PPYXA570.00003,PPYXA570_00178,CDS,35415,38024,+,2610
PPYXA570.00003,PPYXA570_00179,CDS,38290,38769,+,480
PPYXA570.00003,PPYXA570_00180,CDS,40025,43138,+,3114
PPYXA570.00003,PPYXA570_00181,CDS,43140,43607,+,468
PPYXA570.00003,PPYXA570_00182,CDS,43620,43862,+,243
PPYXA570.00003,PPYXA570_00183,CDS,44440,45114,+,675
PPYXA570.00003,PPYXA570_00184,CDS,45111,46526,+,1416
PPYXA570.00003,PPYXA570_00185,CDS,46615,47853,+,1239
PPYXA570.00003,PPYXA570_00186,CDS,47868,48389,+,522
PPYXA570.00003,PPYXA570_00187,CDS,48390,48806,+,417
PPYXA570.00003,PPYXA570_00188,CDS,49160,49387,+,228
PPYXA570.00003,PPYXA570_00189,CDS,49457,49855,+,399
PPYXA570.00003,PPYXA570_00190,CDS,49929,50879,+,951
PPYXA570.00003,PPYXA570_00191,CDS,51091,52239,-,1149
PPYXA570.00003,PPYXA570_00192,CDS,52556,53278,+,723
PPYXA570.00003,PPYXA570_00193,CDS,53571,55955,+,2385
PPYXA570.00003,PPYXA570_00194,CDS,56234,57076,+,843
PPYXA570.00003,PPYXA570_00195,CDS,57255,57914,+,660
PPYXA570.00003,PPYXA570_00196,CDS,57941,58975,+,1035
PPYXA570.00003,PPYXA570_00197,CDS,58972,59766,+,795
PPYXA570.00003,PPYXA570_00198,CDS,59788,60780,+,993
PPYXA570.00003,PPYXA570_00199,CDS,60986,64726,+,3741
PPYXA570.00003,PPYXA570_00200,CDS,64877,66274,-,1398
PPYXA570.00003,PPYXA570_00201,CDS,66385,67263,-,879
PPYXA570.00003,PPYXA570_00202,CDS,67457,69400,+,1944
PPYXA570.00003,PPYXA570_00203,CDS,69428,70798,+,1371
PPYXA570.00003,PPYXA570_00204,CDS,71095,72465,+,1371
PPYXA570.00003,PPYXA570_00205,CDS,72551,73540,-,990
PPYXA570.00003,PPYXA570_00206,CDS,73675,74541,+,867
PPYXA570.00003,PPYXA570_00207,CDS,74549,75673,+,1125
PPYXA570.00003,PPYXA570_00208,CDS,75895,78153,-,2259
PPYXA570.00003,PPYXA570_00209,CDS,78284,79177,+,894
PPYXA570.00003,PPYXA570_00210,CDS,79290,79745,+,456
PPYXA570.00003,PPYXA570_00211,CDS,79745,80062,+,318
PPYXA570.00003,PPYXA570_00212,CDS,80171,81283,+,1113
PPYXA570.00003,PPYXA570_00213,CDS,81323,83998,+,2676
PPYXA570.00003,PPYXA570_00214,CDS,84044,86011,+,1968
PPYXA570.00003,PPYXA570_00215,CDS,86192,87130,+,939
PPYXA570.00003,PPYXA570_00216,CDS,87376,87894,+,519
PPYXA570.00003,PPYXA570_00217,CDS,87878,89494,+,1617
PPYXA570.00003,PPYXA570_00218,CDS,89613,92657,-,3045
PPYXA570.00003,PPYXA570_00219,CDS,92709,93533,-,825
PPYXA570.00003,PPYXA570_00220,CDS,93530,94426,-,897
PPYXA570.00003,PPYXA570_00221,CDS,94528,95817,-,1290
