Contig accession,Feature name,Feature,Begin,End,Strand,Length
Contig_001,Feature_00001,rRNA,1,92,+,92
Contig_001,Feature_00002,rRNA,238,354,+,117
Contig_001,Feature_00003,CDS,590,1009,+,420
Contig_001,Feature_00004,CDS,1381,1908,-,528
Contig_001,Feature_00005,CDS,2309,2494,+,186
Contig_001,Feature_00006,CDS,2642,4222,+,1581
Contig_001,Feature_00007,CDS,4326,4973,+,648
Contig_001,Feature_00008,CDS,5048,5377,+,330
Contig_001,Feature_00009,CDS,5574,6017,+,444
Contig_001,Feature_00010,CDS,6266,7261,+,996
Contig_001,Feature_00011,CDS,7400,8200,+,801
Contig_001,Feature_00012,CDS,8228,8602,+,375
Contig_001,Feature_00013,CDS,8691,9449,+,759
Contig_001,Feature_00014,CDS,9446,10327,+,882
Contig_001,Feature_00015,CDS,10452,10706,-,255
Contig_001,Feature_00016,CDS,11038,12321,+,1284
Contig_001,Feature_00017,CDS,12364,13134,+,771
Contig_001,Feature_00018,CDS,13886,15034,+,1149
Contig_001,Feature_00019,CDS,15181,15726,+,546
Contig_001,Feature_00020,CDS,15692,16618,+,927
Contig_001,Feature_00021,CDS,16671,17570,+,900
Contig_001,Feature_00022,CDS,17770,18051,+,282
Contig_001,Feature_00023,CDS,18217,18396,+,180
Contig_001,Feature_00024,CDS,18541,19395,+,855
Contig_001,Feature_00025,CDS,19577,20416,+,840
Contig_001,Feature_00026,CDS,20529,20867,+,339
Contig_001,Feature_00027,CDS,21213,22610,+,1398
Contig_001,Feature_00028,CDS,22670,23623,+,954
Contig_001,Feature_00029,CDS,23692,23892,-,201
Contig_001,Feature_00030,CDS,23967,24527,+,561
Contig_001,Feature_00031,CDS,24614,24844,+,231
Contig_001,Feature_00032,CDS,24979,28506,+,3528
Contig_001,Feature_00033,CDS,28490,29608,+,1119
Contig_001,Feature_00034,CDS,29776,30318,+,543
Contig_001,Feature_00035,CDS,30458,32116,+,1659
Contig_001,Feature_00036,CDS,32284,33783,+,1500
Contig_001,Feature_00037,CDS,34117,34389,+,273
Contig_001,Feature_00038,CDS,34389,34667,+,279
Contig_001,Feature_00039,CDS,34847,35131,+,285
Contig_001,Feature_00040,CDS,35128,35706,+,579
Contig_001,Feature_00041,CDS,35711,36040,+,330
Contig_001,Feature_00042,CDS,36164,36679,+,516
Contig_001,Feature_00043,CDS,37204,39693,+,2490
Contig_001,Feature_00044,CDS,39820,40569,+,750
Contig_001,Feature_00045,CDS,40553,41491,+,939
Contig_001,Feature_00046,CDS,41558,43006,+,1449
Contig_001,Feature_00047,CDS,43054,43593,+,540
Contig_001,Feature_00048,CDS,43691,45730,+,2040
Contig_001,Feature_00049,CDS,46011,47624,+,1614
Contig_001,Feature_00050,CDS,47614,48504,+,891
Contig_001,Feature_00051,CDS,48511,49278,+,768
Contig_001,Feature_00052,CDS,49496,50380,+,885
Contig_001,Feature_00053,CDS,50401,51351,+,951
Contig_001,Feature_00054,CDS,51592,52530,+,939
Contig_001,Feature_00055,CDS,52723,54282,+,1560
Contig_001,Feature_00056,CDS,54288,54863,+,576
Contig_001,Feature_00057,CDS,54867,55763,+,897
Contig_001,Feature_00058,CDS,55760,56626,+,867
Contig_001,Feature_00059,CDS,56698,57060,+,363
Contig_001,Feature_00060,CDS,57070,57618,+,549
Contig_001,Feature_00061,CDS,57570,57770,+,201
Contig_001,Feature_00062,CDS,57817,58845,+,1029
Contig_001,Feature_00063,CDS,59060,59536,+,477
Contig_001,Feature_00064,CDS,59649,61175,+,1527
Contig_001,Feature_00065,CDS,61263,62600,+,1338
Contig_001,Feature_00066,CDS,62889,63422,+,534
Contig_001,Feature_00067,CDS,63845,64615,+,771
Contig_001,Feature_00068,CDS,64628,66088,+,1461
Contig_001,Feature_00069,CDS,66133,67356,+,1224
Contig_001,Feature_00070,CDS,67353,69053,+,1701
Contig_001,Feature_00071,CDS,69074,70318,+,1245
Contig_001,Feature_00072,CDS,70323,70730,+,408
Contig_001,Feature_00073,CDS,70826,94555,+,23730
Contig_001,Feature_00074,CDS,94671,95705,-,1035
Contig_002,Feature_00075,rRNA,1,92,+,92
Contig_002,Feature_00076,rRNA,243,359,+,117
Contig_002,Feature_00077,CDS,703,2160,+,1458
Contig_002,Feature_00078,CDS,2492,3880,+,1389
Contig_002,Feature_00079,CDS,4013,4894,+,882
Contig_002,Feature_00080,CDS,4911,5477,+,567
Contig_002,Feature_00081,CDS,5514,6797,+,1284
Contig_002,Feature_00082,tRNA,6888,6976,+,89
Contig_002,Feature_00083,CDS,7122,7463,+,342
Contig_002,Feature_00084,CDS,7491,7661,+,171
Contig_002,Feature_00085,CDS,7734,7889,+,156
Contig_002,Feature_00086,CDS,8087,9163,+,1077
Contig_002,Feature_00087,CDS,9287,9844,-,558
Contig_002,Feature_00088,CDS,9905,10405,-,501
Contig_002,Feature_00089,CDS,10734,13010,+,2277
Contig_002,Feature_00090,CDS,13061,13762,+,702
Contig_002,Feature_00091,CDS,13899,14726,-,828
Contig_002,Feature_00092,CDS,14719,15513,-,795
Contig_002,Feature_00093,CDS,15701,15994,+,294
Contig_002,Feature_00094,CDS,16112,16411,+,300
Contig_002,Feature_00095,CDS,16490,16996,-,507
Contig_002,Feature_00096,CDS,17299,17772,-,474
Contig_002,Feature_00097,CDS,18068,18214,+,147
Contig_002,Feature_00098,CDS,18219,19046,-,828
Contig_002,Feature_00099,CDS,19058,21070,-,2013
Contig_002,Feature_00100,CDS,21195,21701,+,507
Contig_002,Feature_00101,CDS,22050,22556,+,507
Contig_002,Feature_00102,CDS,22722,23072,+,351
Contig_002,Feature_00103,CDS,23424,24236,-,813
Contig_002,Feature_00104,CDS,24326,24718,-,393
Contig_002,Feature_00105,CDS,24841,25890,+,1050
Contig_002,Feature_00106,CDS,26026,26490,+,465
Contig_002,Feature_00107,CDS,26639,28696,-,2058
Contig_002,Feature_00108,CDS,28980,29807,+,828
Contig_002,Feature_00109,CDS,30072,31364,+,1293
Contig_002,Feature_00110,CDS,31484,33223,-,1740
Contig_002,Feature_00111,CDS,33220,34980,-,1761
Contig_002,Feature_00112,CDS,35122,36012,+,891
Contig_002,Feature_00113,CDS,36122,36547,+,426
Contig_002,Feature_00114,CDS,36544,38223,+,1680
Contig_002,Feature_00115,CDS,38350,39210,-,861
Contig_002,Feature_00116,CDS,39352,40230,-,879
Contig_002,Feature_00117,CDS,40432,41430,+,999
Contig_002,Feature_00118,CDS,41450,42523,+,1074
Contig_002,Feature_00119,CDS,42528,44198,+,1671
Contig_002,Feature_00120,CDS,44195,45580,+,1386
Contig_002,Feature_00121,CDS,45599,46759,-,1161
Contig_002,Feature_00122,CDS,47165,47716,+,552
Contig_002,Feature_00123,CDS,48118,49719,+,1602
Contig_002,Feature_00124,CDS,49933,50301,+,369
Contig_002,Feature_00125,CDS,50550,51404,+,855
Contig_002,Feature_00126,CDS,51630,52883,+,1254
Contig_002,Feature_00127,CDS,53143,54480,+,1338
Contig_002,Feature_00128,CDS,54574,55845,+,1272
Contig_002,Feature_00129,CDS,55998,56195,+,198
Contig_002,Feature_00130,CDS,56730,58481,+,1752
Contig_002,Feature_00131,CDS,58522,58833,+,312
Contig_002,Feature_00132,CDS,58860,59459,+,600
Contig_002,Feature_00133,CDS,59672,59983,+,312
Contig_002,Feature_00134,CDS,59980,60255,+,276
Contig_003,Feature_00135,rRNA,1,82,+,82
Contig_003,Feature_00136,tRNA,213,304,+,92
Contig_003,Feature_00137,tRNA,333,409,+,77
Contig_003,Feature_00138,tRNA,420,495,+,76
Contig_003,Feature_00139,tRNA,500,575,+,76
Contig_003,Feature_00140,tRNA,595,671,+,77
Contig_003,Feature_00141,tRNA,750,825,+,76
Contig_003,Feature_00142,tRNA,832,917,+,86
Contig_003,Feature_00143,tRNA,925,1000,+,76
Contig_003,Feature_00144,CDS,1156,2298,+,1143
Contig_003,Feature_00145,CDS,2402,3526,+,1125
Contig_003,Feature_00146,CDS,3868,4806,+,939
Contig_003,Feature_00147,CDS,4850,5905,+,1056
Contig_003,Feature_00148,CDS,5902,6555,+,654
Contig_003,Feature_00149,CDS,6552,7046,+,495
Contig_003,Feature_00150,CDS,7193,8344,+,1152
Contig_003,Feature_00151,CDS,8572,9777,+,1206
Contig_003,Feature_00152,CDS,9774,10418,+,645
Contig_003,Feature_00153,CDS,10481,11794,+,1314
Contig_003,Feature_00154,CDS,11778,12386,+,609
Contig_003,Feature_00155,CDS,12390,13019,+,630
Contig_003,Feature_00156,CDS,13116,13847,+,732
Contig_003,Feature_00157,CDS,13859,14617,+,759
Contig_003,Feature_00158,CDS,14614,15354,+,741
Contig_003,Feature_00159,CDS,15391,16215,+,825
Contig_003,Feature_00160,CDS,16449,18218,+,1770
Contig_003,Feature_00161,CDS,18258,19211,+,954
Contig_003,Feature_00162,CDS,19617,20567,+,951
Contig_003,Feature_00163,CDS,20630,21529,+,900
Contig_003,Feature_00164,CDS,21542,22528,+,987
Contig_003,Feature_00165,CDS,22534,23478,+,945
Contig_003,Feature_00166,CDS,23614,23883,+,270
Contig_003,Feature_00167,CDS,24154,24909,+,756
Contig_003,Feature_00168,CDS,25147,26256,+,1110
Contig_003,Feature_00169,CDS,26371,26967,-,597
Contig_003,Feature_00170,tRNA,27178,27249,-,72
Contig_003,Feature_00171,CDS,27510,28547,+,1038
Contig_003,Feature_00172,CDS,28640,29650,+,1011
Contig_003,Feature_00173,CDS,29773,30954,+,1182
Contig_003,Feature_00174,CDS,31014,31766,+,753
Contig_003,Feature_00175,CDS,31768,33312,+,1545
Contig_003,Feature_00176,CDS,33376,34662,+,1287
Contig_003,Feature_00177,CDS,34993,35226,+,234
Contig_003,Feature_00178,CDS,35415,38024,+,2610
